Name,Município,Data_Avist,Estado,Latitude,Longitude,Data_Revis,Status
Praia da Prainha,Aquiraz,2019-09-10,CE,"03° 54' 07.25"" S","38° 20' 41.80"" W",2019-10-09,Oleada - Vestígios/Esparsos
Quixaba,Aracati,2019-10-14,CE,"04° 34' 09.62"" S","37° 39' 22.40"" W",,Oleada - Vestígios/Esparsos
Praia de Bitupitá,Barroquinha,2019-10-21,CE,"02° 53' 20.76"" S","41° 16' 16.80"" W",,Oleada - Vestígios/Esparsos
Barra de Sucatinga,Beberibe,2019-09-08,CE,"04° 15' 10.00"" S","38° 00' 27.00"" W",2019-10-09,Óleo - Não Observado
Morro Branco,Beberibe,2019-09-07,CE,"04° 09' 16.00"" S","38° 06' 32.00"" W",2019-10-08,Oleada - Vestígios/Esparsos
Caponga,Cascavel,2019-10-14,CE,"04° 02' 12.31"" S","38° 11' 59.62"" W",2019-10-23,Óleo - Não Observado
Sabiaguaba,Fortaleza,2019-09-26,CE,"03° 48' 00.30"" S","38° 25' 02.49"" W",2019-10-17,Oleada - Vestígios/Esparsos
Pontal de Maceió,Fortim,2019-09-28,CE,"04° 25' 22.27"" S","37° 46' 08.90"" W",2019-10-10,Óleo - Não Observado
Praia de Barreiras,Icapuí,2019-10-21,CE,"04° 40' 39.63"" S","37° 23' 40.81"" W",,Oleada - Vestígios/Esparsos
Malhada,Jijoca de Jericoacoara,2019-09-26,CE,"02° 47' 26.00"" S","40° 31' 05.00"" W",2019-10-03,Óleo - Não Observado
Paracuru,Paracuru,2019-09-23,CE,"03° 24' 13.63"" S","39° 01' 05.82"" W",2019-10-18,Oleada - Vestígios/Esparsos
Lagoinha,Paraipaba,2019-10-01,CE,"03° 20' 49.00"" S","39° 06' 48.00"" W",2019-10-18,Oleada - Vestígios/Esparsos
Praia de Taíba,São Gonçalo do Amarante,2019-09-23,CE,"03° 30' 53.00"" S","38° 52' 52.00"" W",2019-10-18,Óleo - Não Observado
Praia de Itatinga,Alcântara,2019-09-22,MA,"02° 24' 46.61"" S","44° 23' 54.97"" W",2019-10-17,Óleo - Não Observado
Ilha do Livramento,Alcântara,2019-09-25,MA,"02° 25' 14.29"" S","44° 25' 15.44"" W",2019-10-17,Óleo - Não Observado
Praia da Mamuna,Alcântara,2019-09-25,MA,"02° 15' 37.90"" S","44° 23' 13.60"" W",2019-10-17,Óleo - Não Observado
Ilha dos Poldros,Araioses,2019-09-16,MA,"02° 43' 22.81"" S","41° 51' 26.88"" W",2019-09-28,Óleo - Não Observado
Praia Canto do Atins,Barreirinhas,2019-09-20,MA,"02° 34' 03.95"" S","42° 44' 47.96"" W",2019-09-28,Óleo - Não Observado
Praia Canto do Atins,Barreirinhas,2019-09-22,MA,"02° 32' 35.45"" S","42° 50' 02.56"" W",2019-09-28,Óleo - Não Observado
Ilha Caçacueira,Cururupu,2019-10-10,MA,"01° 29' 02.24"" S","44° 44' 45.79"" W",2019-10-17,Oleada - Vestígios/Esparsos
Ilha dos Poldros,Ilha Grande,2019-09-20,MA,"02° 44' 49.04"" S","41° 48' 08.11"" W",2019-09-28,Óleo - Não Observado
Praia do Barro Vermelho,Paulino Neves,2019-09-21,MA,"02° 39' 21.70"" S","42° 36' 28.80"" W",2019-09-28,Óleo - Não Observado
Santo Amaro do Maranhão,Santo Amaro do Maranhão,2019-09-25,MA,"02° 20' 44.58"" S","43° 20' 54.08"" W",2019-10-20,Oleada - Vestígios/Esparsos
Travosa,Santo Amaro do Maranhão,2019-09-25,MA,"02° 24' 26.78"" S","43° 08' 05.71"" W",2019-09-28,Oleada - Vestígios/Esparsos
Av. Litorânea,São Luís,2019-09-26,MA,"02° 28' 55.50"" S","44° 14' 41.30"" W",2019-10-21,Óleo - Não Observado
Praia de Intermares,Cabedelo,2019-09-01,PB,"07° 02' 33.23"" S","34° 50' 25.97"" W",2019-10-01,Óleo - Não Observado
Praia do Poço,Cabedelo,2019-09-01,PB,"07° 01' 11.43"" S","34° 49' 45.79"" W",2019-10-01,Óleo - Não Observado
Praia de Camboinha,Cabedelo,2019-09-01,PB,"07° 00' 10.57"" S","34° 49' 31.63"" W",2019-10-01,Óleo - Não Observado
Praia Formosa,Cabedelo,2019-09-01,PB,"06° 58' 21.10"" S","34° 49' 44.19"" W",2019-10-01,Óleo - Não Observado
Praia de Jacumã,Conde,2019-08-30,PB,"07° 16' 40.80"" S","34° 47' 56.53"" W",2019-10-15,Óleo - Não Observado
Praia de Tambaba,Conde,2019-08-30,PB,"07° 21' 55.90"" S","34° 47' 51.84"" W",2019-10-15,Oleada - Vestígios/Esparsos
Praia do Amor,Conde,2019-09-30,PB,"07° 16' 27.18"" S","34° 48' 04.75"" W",2019-10-15,Óleo - Não Observado
Praia de Gramame,Conde,2019-08-30,PB,"07° 14' 57.81"" S","34° 48' 20.65"" W",2019-10-15,Óleo - Não Observado
Praia de Tabatinga,Conde,,PB,,,,Oleada - Vestígios/Esparsos
Praia de Tambaú,João Pessoa,2019-09-01,PB,"07° 06' 45.25"" S","34° 49' 16.88"" W",2019-10-01,Óleo - Não Observado
Praia do Cabo Branco,João Pessoa,2019-09-01,PB,"07° 08' 43.34"" S","34° 48' 33.84"" W",2019-10-01,Óleo - Não Observado
